ID,Items,Response
s001,一條 肋骨,1
s001,一條 胡瓜,0
s001,一條 魚刺,1
s001,一條 廁紙,0
s001,一條 工筆畫,1
s001,一條 牙籤,0
s001,一條 竹筷,0
s001,一條 銀釵,1
s001,一條 心,1
s001,一條 土地,0
s001,一條 門,0
s001,一條 床,0
s001,一條 神經,0
s001,一條 牙齒,0
s001,一條 地圖,0
s001,一條 手指,0
s001,一條 果實,1
s001,一條 地毯,0
s001,一條 卡片,1
s001,一條 玫瑰,1
s001,一條 嗩吶,1
s001,一條 白雲,0
s001,一條 表格,0
s001,一條 香,1
s001,一條 骨頭,1
s001,一條 羽毛,0
s001,一條 樹葉,1
s001,一條 貝殼,1
s001,一條 子彈,0
s001,一條 支票,1
s001,一條 箭,0
s001,一條 炸彈,0
s001,一條 名片,0
s001,一條 香煙,0
s001,一條 文憑,1
s001,一條 毛巾,1
s001,一條 西瓜,1
s001,一條 木板,0
s001,一條 底片,1
s001,一條 版畫,0
s001,一條 眉毛,0
s001,一條 梅花,1
s001,一條 車牌,1
s001,一條 汗水,1
s001,一條 流星,0
s001,一條 面具,1
s001,一條 電線,1
s001,一條 手掌,0
s001,一條 病床,1
s001,一條 書桌,0
s001,一條 紙條,0
s001,一條 幻燈片,1
s001,一條 象牙,1
s001,一條 巨石,0
s001,一條 氣球,1
s001,一條 甘蔗,0
s001,一條 花生,0
s001,一條 蘿蔔,1
s001,一條 鋼筆,1
s001,一條 竹筍,1
s001,一條 火柴,0
s001,一條 毒蛇,1
s001,一條 石柱,1
s001,一條 冰棒,0
s001,一條 屋瓦,0
s001,一條 烏雲,1
s001,一條 水田,1
s001,一條 琴弦,0
s001,一條 鐵軌,1
s001,一條 枴杖,0
s001,一條 門板,0
s001,一條 玉石,1
s001,一條 木瓜,0
s001,一條 白米,1
s001,一條 帆布,0
s001,一條 鰻魚,0
s001,一條 打火機,0
s001,一條 鋼管,0
s001,一條 扁擔,1
s001,一條 絲瓜,1
s001,一條 油漬,0
s001,一條 花蕊,0
s001,一條 盾牌,1
s001,一條 掃把,0
s001,一條 銅絲,0
s001,一條 文旦,1
s001,一條 木杖,0
s001,一條 骨牌,0
s001,一條 藥丸,0
s001,一條 球棒,1
s001,一條 人物畫,1
s001,一條 山水畫,1
s001,一條 太極圖,0
s001,一條 水墨畫,1
s001,一條 名畫,0
s001,一條 肖像,1
s001,一條 卷軸,1
s001,一條 油畫,0
s001,一條 春聯,0
s001,一條 風景畫,0
s001,一枝 肋骨,1
s001,一枝 胡瓜,0
s001,一枝 魚刺,0
s001,一枝 廁紙,1
s001,一枝 工筆畫,0
s001,一枝 牙籤,1
s001,一枝 竹筷,1
s001,一枝 銀釵,1
s001,一枝 心,0
s001,一枝 土地,0
s001,一枝 門,1
s001,一枝 床,0
s001,一枝 神經,0
s001,一枝 牙齒,1
s001,一枝 地圖,1
