WORD,POS,FREQ,RANK
個,Nf,41077, 11.64
人,Na,24269, 16.90
種,Nf,12263, 21.97
年,Nf,10127, 24.21
者,Na,7221, 29.10
次,Nf,7087, 29.39
問題,Na,6683, 29.95
位,Nf,6015, 31.92
學生,Na,5523, 32.51
社會,Na,5282, 33.17
天,Nf,5038, 33.48
工作,Na,4620, 34.27
時候,Na,4179, 35.06
時間,Na,4044, 35.48
事,Na,4008, 35.56
系統,Na,3631, 36.34
政府,Na,3612, 36.41
國家,Na,3550, 36.56
生活,Na,3542, 36.70
研究,Na,3485, 36.99
活動,Na,3432, 37.27
方式,Na,3362, 37.68
項,Nf,3328, 37.82
環境,Na,3276, 38.02
文化,Na,3216, 38.22
孩子,Na,3201, 38.35
元,Nf,3132, 38.61
網路,Na,3093, 38.79
地方,Na,2990, 39.29
關係,Na,2951, 39.41
老師,Na,2871, 39.65
經濟,Na,2831, 39.94
教育,Na,2778, 40.16
方面,Na,2658, 40.50
電腦,Na,2621, 40.87
心,Na,2606, 41.03
企業,Na,2588, 41.19
空間,Na,2553, 41.61
們,Na,2523, 41.92
人員,Na,2486, 42.27
產品,Na,2457, 42.42
資料,Na,2449, 42.47
資訊,Na,2443, 42.52
先生,Na,2423, 42.62
地,Na,2419, 42.67
歲,Nf,2331, 43.10
月,Na,2281, 43.24
些,Nf,2266, 43.29
名,Nf,2263, 43.34
技術,Na,2172, 43.56
政治,Na,1964, 44.61
話,Na,1957, 44.65
單位,Na,1952, 44.73
歷史,Na,1907, 45.01
機會,Na,1850, 45.24
家,Nf,1842, 45.28
朋友,Na,1818, 45.42
情況,Na,1797, 45.68
錢,Na,1786, 45.76
方法,Na,1785, 45.79
點,Nf,1769, 45.86
經驗,Na,1762, 45.97
藝術,Na,1760, 46.01
媽媽,Na,1756, 46.15
計畫,Na,1730, 46.36
東西,Na,1726, 46.47
條,Nf,1724, 46.54
設計,Na,1721, 46.57
時代,Na,1664, 46.92
同學,Na,1652, 47.09
件,Nf,1651, 47.12
能力,Na,1639, 47.16
都市,Na,1638, 47.19
生命,Na,1628, 47.26
場,Nf,1615, 47.39
會議,Na,1612, 47.42
民眾,Na,1603, 47.52
事情,Na,1601, 47.55
書,Na,1600, 47.58
事實,Na,1597, 47.62
組織,Na,1575, 47.71
業者,Na,1545, 47.97
建築,Na,1498, 48.21
過程,Na,1482, 48.30
手,Na,1476, 48.33
功能,Na,1451, 48.39
水,Na,1445, 48.45
小朋友,Na,1432, 48.51
教授,Na,1430, 48.57
內容,Na,1423, 48.69
結果,Na,1417, 48.71
家庭,Na,1404, 48.77
身,Na,1398, 48.83
父母,Na,1378, 49.00
人類,Na,1370, 49.08
作品,Na,1332, 49.38
資源,Na,1327, 49.41
情形,Na,1327, 49.44
原因,Na,1326, 49.46
運動,Na,1314, 49.57
觀念,Na,1310, 49.60
軟體,Na,1308, 49.65
品質,Na,1302, 49.68
精神,Na,1292, 49.78
影響,Na,1291, 49.81
訓練,Na,1257, 50.15
個人,Na,1252, 50.28
行為,Na,1237, 50.35
目標,Na,1227, 50.48
辦法,Na,1218, 50.55
意見,Na,1218, 50.58
