WORD,POS,FREQ,RANK,STUDY01,STUDY03,STUDY04,條,枝,根,張,面,片,個,顆,粒,瓣,點,頂,朵,封,幅,節,具,卷,管,枚,葉,幀,尊,Nf_SUM
肋骨,NA,NA,NA,V,V,,,,V,,,,,,,,,,,,,,,,,,,,,1
胡瓜,NA,NA,NA,V,V,,,,,,,,,,,,,,,,,,,,,,,,,0
魚刺,NA,NA,NA,V,V,,,,,,,,,,,,,,,,,,,,,,,,,0
廁紙,NA,NA,NA,V,V,,,,,,,,,,,,,,,,,,,,,,,,,0
工筆畫,NA,NA,NA,V,,,,,,,,,,,,,,,,,V,,,,,,,,,1
牙籤,NA,NA,NA,V,,,,,,,,,,,,,,,,,,,,,,,,,,0
竹筷,NA,NA,NA,V,,V,,,,,,,,,,,,,,,,,,,,,,,,0
銀釵,NA,NA,NA,V,,,,,,,,,,,,,,,,,,,,,,,,,,0
心,Na,2606,41.03,V,,,V,,,,,,V,V,,,V,,,,,,,,,,,,,4
土地,Na,1161,51.33,V,,,,,,,,V,V,,,,,,,,,,,,V,,,,,3
門,Na,606,60.29,V,,,,,,V,,,V,,,,,,,,,,,,,,,,,2
床,Na,254,70.54,V,,,,,,V,,,V,,,,,,,,,,,,,,,,,2
神經,Na,184,73.81,V,,,V,,V,,,,V,V,,,,,,,,,,,,,,,,4
牙齒,Na,144,76.21,V,V,,,,,,,,,V,,,,,,,,,,,,,,,,1
地圖,Na,114,78.31,V,,V,,,,V,,,,,,,,,,,V,,,,,,,,,2
手指,Na,109,78.66,V,,,,,V,,,,V,,,,,,,,,,,,V,,,,,3
果實,Na,97,79.64,V,,,,,,,,,V,V,V,,,,,,,,,,,,,,,3
地毯,Na,92,80.08,V,V,,V,,,,,,,,,,,,,,,,,,,,,,,1
卡片,Na,92,80.09,V,,,,,,,,,V,,,,,,,,,,,,,,,,,1
玫瑰,Na,75,81.8,V,V,,,,,,,,,,,,,,V,,,,,,V,,,,,2
嗩吶,Na,74,81.85,V,,,,,,,,,,,,,,,,,,,,,,,,,,0
白雲,Na,70,82.36,V,V,,,,,,,V,,,,,,,V,,,,,,,,,,,2
表格,Na,68,82.56,V,,,,,,,,,V,,,,,,,,,,,,,,,,,1
香,Na,68,82.55,V,,,,,,,,,,,,,,,,,,,,,,,,,,0
